# MicroBooNE BNB flux
# Based on MCC9_FluxHist_volTPCActive.root
# scaled to nu/POT/bin/cm2 
# BinMid    Nue NuMu    Nutau   NuEbar  NuMuBar nuTauBar
5.525   4.69061e-17 1.67053e-14 0.0 0   6.70087e-18 0.0
5.575   4.02052e-17 1.67589e-14 0.0 6.70087e-18 0   0.0
5.625   2.01026e-17 1.52311e-14 0.0 6.70087e-18 0   0.0
5.675   6.70087e-18 1.36832e-14 0.0 6.70087e-18 0   0.0
5.725   2.01026e-17 1.33548e-14 0.0 6.70087e-18 0   0.0
5.775   1.34017e-17 1.18538e-14 0.0 0   6.70087e-18 0.0
5.825   2.68035e-17 1.09894e-14 0.0 0   0   0.0
5.875   2.68035e-17 9.62915e-15 0.0 0   0   0.0
5.925   2.01026e-17 8.4029e-15  0.0 0   0   0.0
5.975   1.34017e-17 7.72611e-15 0.0 0   0   0.0
6.025   0   6.8818e-15  0.0 0   0   0.0
6.075   0   6.53335e-15 0.0 0   0   0.0
6.125   6.70087e-18 5.68904e-15 0.0 0   0   0.0
6.175   0   4.99885e-15 0.0 0   0   0.0
6.225   0   4.32206e-15 0.0 0   0   0.0
6.275   0   3.39064e-15 0.0 0   0   0.0
6.325   0   3.55146e-15 0.0 0   0   0.0
6.375   0   2.3118e-15  0.0 0   0   0.0
6.425   0   2.01026e-15 0.0 0   0   0.0
6.475   0   1.73553e-15 0.0 0   0   0.0
6.525   0   1.36698e-15 0.0 0   0   0.0
6.575   0   1.03193e-15 0.0 0   0   0.0
6.625   0   6.70087e-16 0.0 0   0   0.0
6.675   0   3.95352e-16 0.0 0   0   0.0
6.725   0   2.07727e-16 0.0 0   0   0.0
6.775   0   1.07214e-16 0.0 0   0   0.0
6.825   0   1.34017e-17 0.0 0   0   0.0
6.875   0   1.34017e-17 0.0 0   0   0.0
6.925   0   1.34017e-17 0.0 0   0   0.0
6.975   0   1.34017e-17 0.0 0   0   0.0
7.025   0   6.70087e-18 0.0 0   0   0.0
7.075   0   0   0.0 0   0   0.0
7.125   0   0   0.0 0   0   0.0
7.175   0   0   0.0 0   0   0.0
7.225   0   0   0.0 0   0   0.0
7.275   0   0   0.0 0   0   0.0
7.325   0   0   0.0 0   0   0.0
7.375   0   0   0.0 0   0   0.0
7.425   0   0   0.0 0   0   0.0
7.475   0   0   0.0 0   0   0.0
7.525   0   0   0.0 0   0   0.0
7.575   0   0   0.0 0   0   0.0
7.625   0   0   0.0 0   0   0.0
7.675   0   0   0.0 0   0   0.0
7.725   0   0   0.0 0   0   0.0
7.775   0   0   0.0 0   0   0.0
7.825   0   0   0.0 0   0   0.0
7.875   0   0   0.0 0   0   0.0
7.925   0   0   0.0 0   0   0.0
7.975   0   0   0.0 0   0   0.0
8.025   0   0   0.0 0   0   0.0
8.075   0   0   0.0 0   0   0.0
8.125   0   0   0.0 0   0   0.0
8.175   0   0   0.0 0   0   0.0
8.225   0   0   0.0 0   0   0.0
8.275   0   0   0.0 0   0   0.0
8.325   0   0   0.0 0   0   0.0
8.375   0   0   0.0 0   0   0.0
8.425   0   0   0.0 0   0   0.0
8.475   0   0   0.0 0   0   0.0
8.525   0   0   0.0 0   0   0.0
8.575   0   0   0.0 0   0   0.0
8.625   0   0   0.0 0   0   0.0
8.675   0   0   0.0 0   0   0.0
8.725   0   0   0.0 0   0   0.0
8.775   0   0   0.0 0   0   0.0
8.825   0   0   0.0 0   0   0.0
8.875   0   0   0.0 0   0   0.0
8.925   0   0   0.0 0   0   0.0
8.975   0   0   0.0 0   0   0.0
9.025   0   0   0.0 0   0   0.0
9.075   0   0   0.0 0   0   0.0
9.125   0   0   0.0 0   0   0.0
9.175   0   0   0.0 0   0   0.0
9.225   0   0   0.0 0   0   0.0
9.275   0   0   0.0 0   0   0.0
9.325   0   0   0.0 0   0   0.0
9.375   0   0   0.0 0   0   0.0
9.425   0   0   0.0 0   0   0.0
9.475   0   0   0.0 0   0   0.0
9.525   0   0   0.0 0   0   0.0
9.575   0   0   0.0 0   0   0.0
9.625   0   0   0.0 0   0   0.0
9.675   0   0   0.0 0   0   0.0
9.725   0   0   0.0 0   0   0.0
9.775   0   0   0.0 0   0   0.0
9.825   0   0   0.0 0   0   0.0
9.875   0   0   0.0 0   0   0.0
9.925   0   0   0.0 0   0   0.0
9.975   0   0   0.0 0   0   0.0
