538
0 7 32.892705
0  5910 0 0 0 0 0.47780698 0.019394738 1.2153597 1.3060532 nan -142.51705 435.56657 126.06046 0
1  11 0 0 0 0 -0.0094492585 0.039540521 -0.014060736 0.043019841 0.00051099895 -142.51705 435.56657 126.06046 0
1  -11 0 0 0 0 -0.002557066 0.014590302 0.01346566 0.020025 0.00051099895 -142.51705 435.56657 126.06046 0
4 7 22.927102
0  14 0 0 0 0 0 0 1.5545434 1.5545434 0 111.84314 -484.58392 238.92968 0
0  2212 0 0 0 0 -0 -0 -2.220446e-16 0.93827209 0.93827209 111.84314 -484.58392 238.92968 0
0  5915 0 0 0 0 0.057116474 0.049206236 1.4893405 1.5492639 0.42 111.84314 -484.58392 238.92968 0
0  2212 0 0 0 0 -0.057116474 -0.049206236 0.065202841 0.94355152 0.93827209 111.84314 -484.58392 238.92968 0
0  5910 0 0 0 0 -0.045458505 0.13199803 1.3422271 1.3494679 3.3320009e-08 111.84314 -484.58392 238.92968 0
1  11 0 0 0 0 0.085669528 -0.052723081 0.1127712 0.15111782 0.00051099895 111.84314 -484.58392 238.92968 0
1  -11 0 0 0 0 0.016905451 -0.030068715 0.034342239 0.048678254 0.00051099895 111.84314 -484.58392 238.92968 0
5 7 6.2882102e-05
0  14 0 0 0 0 0 0 1.1502619 1.1502619 0 208.55436 -235.71342 -472.53701 0
0  1000060120 0 0 0 0 -0 -0 1.5321078e-14 11.174864 11.174864 208.55436 -235.71342 -472.53701 0
0  5915 0 0 0 0 0.51531532 -0.33886724 0.84748001 1.1291604 0.42 208.55436 -235.71342 -472.53701 0
0  1000060120 0 0 0 0 -0.51531532 0.33886724 0.30278189 11.195966 11.174864 208.55436 -235.71342 -472.53701 0
0  5910 0 0 0 0 0.3189883 -0.3896491 0.7469525 0.90084293 1.4901161e-08 208.55436 -235.71342 -472.53701 0
1  11 0 0 0 0 0.0083177901 0.0065338622 0.011523798 0.015650432 0.00051099895 208.55436 -235.71342 -472.53701 0
1  -11 0 0 0 0 0.18800922 0.044247995 0.089003718 0.21266706 0.00051099895 208.55436 -235.71342 -472.53701 0
6 7 0.13876647
0  14 0 0 0 0 0 0 0.67215495 0.67215495 0 346.77795 159.48116 174.91825 0
0  2212 0 0 0 0 -0 -0 -5.5511151e-17 0.93827209 0.93827209 346.77795 159.48116 174.91825 0
0  5915 0 0 0 0 -0.066677574 0.010136486 0.49592601 0.65336915 0.42 346.77795 159.48116 174.91825 0
0  2212 0 0 0 0 0.066677574 -0.010136486 0.17622895 0.95705789 0.93827209 346.77795 159.48116 174.91825 0
0  5910 0 0 0 0 -0.10505333 -0.023620165 0.55756176 0.56786374 1.0536712e-08 346.77795 159.48116 174.91825 0
1  11 0 0 0 0 0.019662499 0.01520921 -0.051652691 0.057325348 0.00051099895 346.77795 159.48116 174.91825 0
1  -11 0 0 0 0 0.018713256 0.018547441 -0.0099830603 0.028180066 0.00051099895 346.77795 159.48116 174.91825 0
7 7 0.01163638
0  14 0 0 0 0 0 0 0.83561814 0.83561814 0 -364.08157 259.42366 -40.021613 0
0  1000060120 0 0 0 0 -0 -0 -1.6653345e-15 11.174864 11.174864 -364.08157 259.42366 -40.021613 0
0  5915 0 0 0 0 -0.028958453 0.10386285 0.71290798 0.83442428 0.42 -364.08157 259.42366 -40.021613 0
0  1000060120 0 0 0 0 0.028958453 -0.10386285 0.12271015 11.176058 11.174864 -364.08157 259.42366 -40.021613 0
0  5910 0 0 0 0 0.015629677 0.028856735 0.73805758 0.73878684 0 -364.08157 259.42366 -40.021613 0
1  11 0 0 0 0 0.000618861 0.01388834 -0.012235262 0.018526515 0.00051099895 -364.08157 259.42366 -40.021613 0
1  -11 0 0 0 0 -0.045206991 0.06111777 -0.012914335 0.077110927 0.00051099895 -364.08157 259.42366 -40.021613 0
8 7 0.01003973
0  14 0 0 0 0 0 0 1.4043048 1.4043048 0 -10.127584 -375.00279 -272.40048 0
0  2212 0 0 0 0 -0 -0 1.110223e-16 0.93827209 0.93827209 -10.127584 -375.00279 -272.40048 0
0  5915 0 0 0 0 -0.11876684 0.12817879 -0.18308533 0.49036272 0.42 -10.127584 -375.00279 -272.40048 0
0  2212 0 0 0 0 0.11876684 -0.12817879 1.5873901 1.8522141 0.93827209 -10.127584 -375.00279 -272.40048 0
0  5910 0 0 0 0 0.12823889 0.0067268012 -0.17016445 0.21318162 1.8626451e-09 -10.127584 -375.00279 -272.40048 0
1  11 0 0 0 0 -0.1775112 0.071892822 -0.0096858825 0.19176256 0.00051099895 -10.127584 -375.00279 -272.40048 0
1  -11 0 0 0 0 -0.069494528 0.049559167 -0.0032349948 0.085418539 0.00051099895 -10.127584 -375.00279 -272.40048 0
9 7 0.14184075
0  14 0 0 0 0 0 0 0.70543332 0.70543332 0 -111.9662 244.55186 -335.11248 0
0  2212 0 0 0 0 -0 -0 -5.5511151e-17 0.93827209 0.93827209 -111.9662 244.55186 -335.11248 0
0  5915 0 0 0 0 -0.17313863 -0.17523967 0.090799058 0.49530839 0.42 -111.9662 244.55186 -335.11248 0
0  2212 0 0 0 0 0.17313863 0.17523967 0.61463426 1.148397 0.93827209 -111.9662 244.55186 -335.11248 0
0  5910 0 0 0 0 -0.18955409 -0.28166201 -0.017113465 0.33993692 nan -111.9662 244.55186 -335.11248 0
1  11 0 0 0 0 0.020516127 0.10370972 0.097372649 0.14373 0.00051099895 -111.9662 244.55186 -335.11248 0
1  -11 0 0 0 0 -0.0041006686 0.0027126073 0.010539875 0.011641469 0.00051099895 -111.9662 244.55186 -335.11248 0
10 7 9.6340758
0  14 0 0 0 0 0 0 0.89058766 0.89058766 0 -103.85578 33.821274 -412.41739 0
