                        Flux (/cm^2/1E21p.o.t/50MeV)
Bin#    Energy (GeV)    numu            anti-numu       nue             anti-nue
182      9.05- 9.10     1.93e+02        5.42e+01        4.90e+00        2.52e+00
183      9.10- 9.15     1.99e+02        5.69e+01        5.03e+00        2.95e+00
184      9.15- 9.20     2.17e+02        5.96e+01        4.74e+00        2.51e+00
185      9.20- 9.25     2.09e+02        4.79e+01        4.89e+00        1.85e+00
186      9.25- 9.30     1.66e+02        5.28e+01        4.64e+00        2.53e+00
187      9.30- 9.35     1.66e+02        4.41e+01        5.63e+00        2.88e+00
188      9.35- 9.40     1.56e+02        4.11e+01        2.94e+00        1.03e+00
189      9.40- 9.45     1.85e+02        4.74e+01        4.78e+00        1.42e+00
190      9.45- 9.50     1.75e+02        3.49e+01        3.47e+00        1.10e+00
191      9.50- 9.55     1.63e+02        3.94e+01        4.42e+00        1.96e+00
192      9.55- 9.60     1.68e+02        2.99e+01        3.03e+00        1.76e+00
193      9.60- 9.65     1.46e+02        3.72e+01        3.22e+00        1.11e+00
194      9.65- 9.70     1.50e+02        4.06e+01        2.41e+00        7.71e-01
195      9.70- 9.75     1.54e+02        2.77e+01        2.95e+00        8.12e-01
196      9.75- 9.80     1.51e+02        2.90e+01        3.49e+00        1.25e+00
197      9.80- 9.85     1.48e+02        3.03e+01        3.21e+00        1.53e+00
198      9.85- 9.90     1.40e+02        3.40e+01        2.52e+00        9.62e-01
199      9.90- 9.95     1.35e+02        2.44e+01        2.32e+00        1.36e+00
200      9.95-10.00     1.31e+02        3.17e+01        1.95e+00        7.66e-01
201     10.00-11.00     1.12e+02        1.95e+01        1.83e+00        6.31e-01
202     11.00-12.00     8.05e+01        8.46e+00        1.17e+00        3.57e-01
203     12.00-13.00     5.43e+01        5.89e+00        3.91e-01        7.36e-02
204     13.00-14.00     3.90e+01        2.41e+00        2.24e-01        3.59e-02
205     14.00-15.00     2.04e+01        4.96e-01        1.10e-01        3.17e-02
206     15.00-16.00     1.46e+01        6.19e-01        1.09e-01        4.04e-02
207     16.00-17.00     8.26e+00        3.70e-01        3.09e-02        0.00e+00
208     17.00-18.00     3.92e+00        1.05e-02        0.00e+00        0.00e+00
209     18.00-19.00     1.92e+00        1.48e-01        0.00e+00        0.00e+00
210     19.00-20.00     2.39e+00        0.00e+00        0.00e+00        0.00e+00
