dm2    sintheta    -2ln(L)
15.7045 0.0003133 368.244
16.4888 0.0003133 368.505
17.3122 0.0003133 368.44
18.1768 0.0003133 368.149
19.0845 0.0003133 367.972
20.0376 0.0003133 367.909
21.0382 0.0003133 367.915
22.0889 0.0003133 368.05
23.1919 0.0003133 368.287
24.3501 0.0003133 368.272
25.5661 0.0003133 368.049
26.8429 0.0003133 367.944
28.1834 0.0003133 368.043
29.5908 0.0003133 368.119
31.0686 0.0003133 368.195
32.6201 0.0003133 368.044
34.2491 0.0003133 368.075
35.9595 0.0003133 367.952
37.7553 0.0003133 368.132
39.6407 0.0003133 368.187
41.6203 0.0003133 367.881
43.6988 0.0003133 368.23
45.8811 0.0003133 368.013
48.1723 0.0003133 368.043
50.578 0.0003133 368.132
53.1038 0.0003133 367.997
55.7557 0.0003133 368.128
58.5401 0.0003133 368.029
61.4635 0.0003133 368.09
64.533 0.0003133 368.043
67.7557 0.0003133 368.047
71.1393 0.0003133 368.173
74.6919 0.0003133 367.946
78.422 0.0003133 368.092
82.3383 0.0003133 368.04
86.4502 0.0003133 368.077
90.7674 0.0003133 368.056
95.3002 0.0003133 368.159
100 0.0003133 368.137
0.01 0.00032704 373.404
0.0105056 0.00032704 373.404
0.0110303 0.00032704 373.404
0.0115811 0.00032704 373.404
0.0121594 0.00032704 373.404
0.0127667 0.00032704 373.404
0.0134042 0.00032704 373.403
0.0140736 0.00032704 373.403
0.0147764 0.00032704 373.403
0.0155144 0.00032704 373.403
0.0162891 0.00032704 373.402
0.0171026 0.00032704 373.402
0.0179567 0.00032704 373.401
0.0188534 0.00032704 373.401
0.0197949 0.00032704 373.4
0.0207835 0.00032704 373.4
0.0218214 0.00032704 373.399
0.0229111 0.00032704 373.399
0.0240553 0.00032704 373.398
0.0252566 0.00032704 373.397
0.0265178 0.00032704 373.396
0.0278421 0.00032704 373.395
0.0292325 0.00032704 373.394
0.0306924 0.00032704 373.393
0.0322251 0.00032704 373.392
0.0338344 0.00032704 373.39
0.035524 0.00032704 373.388
0.0372981 0.00032704 373.387
0.0391607 0.00032704 373.385
0.0411163 0.00032704 373.383
